metric,baseline_abs_error,analytic_abs_error,analytic_over_baseline_error
power_W,80.12329965643585,2.786549659445882,0.03477826888551081
phi_mid,7.279065996831924e-08,2.531533092528515e-09,0.03477826816833804
fuel_mid_K,0.03858401912566478,0.03857239224350906,0.999698660678198
graphite_mid_K,6.254307436392992e-06,6.606990609725472e-06,1.0563904440130754
Ts_core_outlet_K,5.336143431122764e-06,2.985997866744583e-06,0.5595797611677591
Ts_HX1_0_K,0.000728411101022175,0.000728411101022175,1.0
Tss_HX1_L_K,0.0095417928405368,0.0095417928405368,1.0
Tss_HX2_0_K,0.0020193515215396474,0.0020193515215396474,1.0
Tsss_HX2_L_K,0.005959324120453857,0.005959324120453857,1.0
Tsss_pp_0_K,0.32155460996398233,0.32155460996398233,1.0
