metric,value,reference,abs_error,rel_error
power_W,9853054.760413809,9853134.883713465,80.12329965643585,8.131757111015905e-06
phi_mid,0.008951333713554884,0.008951406504214852,7.279065996831924e-08,8.131756717119827e-06
fuel_mid_K,861.5936230473591,861.6322070664847,0.03858401912566478,4.4780149591933236e-05
graphite_mid_K,1527.5253061471656,1527.525312401473,6.254307436392992e-06,4.09440510452844e-09
Ts_core_outlet_K,874.066457740059,874.0664630762025,5.336143431122764e-06,6.1049630165910516e-09
Ts_HX1_0_K,848.590379970532,848.591108381633,0.000728411101022175,8.583770131781654e-07
Tss_HX1_L_K,873.1998505670691,873.2093923599097,0.0095417928405368,1.0927267759625713e-05
Tss_HX2_0_K,829.1621068378353,829.1641261893568,0.0020193515215396474,2.435406281769704e-06
Tsss_HX2_L_K,872.0614210681749,872.0673803922954,0.005959324120453857,6.8335592575118264e-06
Tsss_pp_0_K,831.3997415321055,831.0781869221415,0.32155460996398233,0.0003869125853908457
